번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
810,114630,우노앤컴퍼니,032005,화학섬유 제조업,"13,573,965","6,886,982,500","500",원(KRW)
811,032820,우리기술,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","85,399,992","42,699,996,000","500",원(KRW)
812,041190,우리기술투자,116409,기타 금융업,"84,000,000","42,000,000,000","500",원(KRW)
813,115440,우리넷,032604,통신 및 방송 장비 제조업,"6,365,710","3,182,855,000","500",원(KRW)
814,046970,우리로,032604,통신 및 방송 장비 제조업,"24,791,119","12,395,559,500","500",원(KRW)
815,215360,우리산업,033003,자동차 신품 부품 제조업,"9,132,163","4,566,081,500","500",원(KRW)
816,072470,우리산업홀딩스,116409,기타 금융업,"18,887,341","9,443,670,500","500",원(KRW)
817,073560,우리손에프앤지,031001,"도축, 육류 가공 및 저장 처리업","69,237,643","34,618,821,500","500",원(KRW)
818,153490,우리이앤엘,032601,반도체 제조업,"49,900,000","24,950,000,000","500",원(KRW)
819,082850,우리이티아이,032804,전구 및 조명장치 제조업,"41,518,621","20,759,310,500","500",원(KRW)
820,037400,우리조명,032804,전구 및 조명장치 제조업,"24,923,346","12,461,673,000","500",원(KRW)
821,101170,우림기계,032901,일반 목적용 기계 제조업,"13,500,000","6,750,000,000","500",원(KRW)
822,066590,우수AMS,033003,자동차 신품 부품 제조업,"24,694,303","12,347,151,500","500",원(KRW)
823,046940,우원개발,064201,기반조성 및 시설물 축조관련 전문공사업,"17,124,677","8,562,338,500","500",원(KRW)
824,215380,우정바이오,137001,자연과학 및 공학 연구개발업,"25,109,711","2,510,971,100","100",원(KRW)
825,065680,우주일렉트로,032602,전자부품 제조업,"9,934,220","4,967,110,000","500",원(KRW)
826,018620,우진비앤지,032102,의약품 제조업,"16,217,013","8,108,506,500","500",원(KRW)
827,032940,원익,074605,기계장비 및 관련 물품 도매업,"17,934,432","8,967,216,000","500",원(KRW)
828,240810,원익IPS,032902,특수 목적용 기계 제조업,"41,273,436","20,636,718,000","500",원(KRW)
829,074600,원익QnC,032301,유리 및 유리제품 제조업,"26,288,000","13,144,000,000","500",원(KRW)
830,104830,원익머트리얼즈,032001,기초 화학물질 제조업,"12,608,000","6,304,000,000","500",원(KRW)
831,014190,원익큐브,074607,기타 전문 도매업,"35,399,906","17,699,953,000","500",원(KRW)
832,123100,원익테라세미콘,032902,특수 목적용 기계 제조업,"11,303,840","5,651,920,000","500",원(KRW)
833,030530,원익홀딩스,116409,기타 금융업,"77,237,981","38,618,990,500","500",원(KRW)
834,012620,원일특강,032401,1차 철강 제조업,"4,400,000","2,200,000,000","500",원(KRW)
835,008370,원풍,032202,플라스틱제품 제조업,"12,000,000","6,000,000,000","500",원(KRW)
836,008290,원풍물산,031401,봉제의복 제조업,"38,391,781","19,195,890,500","500",원(KRW)
837,101160,월덱스,032602,전자부품 제조업,"16,510,993","8,255,496,500","500",원(KRW)
838,095270,웨이브일렉트로,032604,통신 및 방송 장비 제조업,"10,798,868","5,399,434,000","500",원(KRW)
839,065950,웰크론,031302,직물직조 및 직물제품 제조업,"25,723,597","12,861,798,500","500",원(KRW)
840,114190,웰크론강원,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","15,366,896","7,683,448,000","500",원(KRW)
841,076080,웰크론한텍,064101,건물 건설업,"19,362,573","9,681,286,500","500",원(KRW)
842,196700,웹스,032002,합성고무 및 플라스틱 물질 제조업,"13,698,476","6,849,238,000","500",원(KRW)
843,069080,웹젠,105802,소프트웨어 개발 및 공급업,"35,310,884","17,655,442,000","500",원(KRW)
844,053580,웹케시,105802,소프트웨어 개발 및 공급업,"6,630,322","3,315,161,000","500",원(KRW)
845,044340,위닉스,032805,가정용 기기 제조업,"17,873,425","8,936,712,500","500",원(KRW)
846,112040,위메이드,105802,소프트웨어 개발 및 공급업,"16,800,000","8,680,000,000","500",원(KRW)
847,038620,위즈코프,074707,연료 소매업,"38,830,772","19,415,386,000","500",원(KRW)
848,299900,위지윅스튜디오,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","8,798,060","4,399,030,000","500",원(KRW)
849,036090,위지트,032902,특수 목적용 기계 제조업,"72,749,313","36,374,656,500","500",원(KRW)
850,136540,윈스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","12,088,063","6,044,031,500","500",원(KRW)
851,097800,윈팩,032601,반도체 제조업,"36,083,249","18,041,624,500","500",원(KRW)
852,192390,윈하이텍,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","9,863,089","4,931,544,500","500",원(KRW)
